ID,merchant-name,merchant-description,physical-address,street-name,city,zip-code,latitude,longitude,country,state,vintage,price,bottle-size,format,volume,link
120,Mad Wild Wines,"A wine retail, hospitality, and consultation business founded by former sommeliers who are mad about wine and wild about enhancing your affinity for it. ex. sales tax",No address given.,,,20018,38.930038,-76.969962,USA,DC,1994,110.0,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115488&wine_name_id_F=85261&merchant_id_F=162786&price_F=80.119125&page_no_F=1&line_no_F=1&ebp_price_F=80.119125&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1994&Xlocation=USA&Xcurrencycode=USD
121,Pop's Wines & Spirits,New York based wine merchant. ex. sales tax,"256 Long Beach Road, Island Park, NY 11558", Island Park, Island Park,11558,40.603841,-73.655997,USA,NY,1992,129.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116038&wine_name_id_F=85261&merchant_id_F=172&price_F=94.678955&page_no_F=1&line_no_F=1&ebp_price_F=94.678955&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1992&Xlocation=USA&Xcurrencycode=USD
122,CANA Wine Company,Fine wine retailer specializing in quality old vintage wines. ex. sales tax,"701 Cowan Street Nashville, TN 37207", TN 37207,701 Cowan Street Nashville,37207,36.183255,-86.776003,USA,TN,1990,80.0,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4114970&wine_name_id_F=85261&merchant_id_F=58755&price_F=58.268456&page_no_F=1&line_no_F=1&ebp_price_F=116.53691&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1990&Xlocation=USA&Xcurrencycode=USD
123,Pop's Wines & Spirits,New York based wine merchant. ex. sales tax,"256 Long Beach Road, Island Park, NY 11558", Island Park, Island Park,11558,40.603841,-73.655997,USA,NY,1989,129.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116042&wine_name_id_F=85261&merchant_id_F=172&price_F=94.678955&page_no_F=1&line_no_F=1&ebp_price_F=94.678955&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1989&Xlocation=USA&Xcurrencycode=USD
124,Pop's Wines & Spirits,New York based wine merchant. ex. sales tax,"256 Long Beach Road, Island Park, NY 11558", Island Park, Island Park,11558,40.603841,-73.655997,USA,NY,1988,129.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116043&wine_name_id_F=85261&merchant_id_F=172&price_F=94.678955&page_no_F=1&line_no_F=1&ebp_price_F=94.678955&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1988&Xlocation=USA&Xcurrencycode=USD
125,Prima Vini Wine Merchants,Wine merchant specializing in hard-to-get wines from around the world. ex. sales tax,"1520 North Main Street, Walnut Creek, CA 94596", Walnut Creek, Walnut Creek,94596,37.900183,-122.061116,USA,CA,1987,4200.0,6ltr,6ltr,,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=16973540&wine_name_id_F=85261&merchant_id_F=2043&price_F=3059.0938&page_no_F=1&line_no_F=1&ebp_price_F=382.38672&bot_size_F=6ltr&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1987&Xlocation=USA&Xcurrencycode=USD
126,Pop's Wines & Spirits,New York based wine merchant. ex. sales tax,"256 Long Beach Road, Island Park, NY 11558", Island Park, Island Park,11558,40.603841,-73.655997,USA,NY,1986,129.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116040&wine_name_id_F=85261&merchant_id_F=172&price_F=94.678955&page_no_F=1&line_no_F=1&ebp_price_F=94.678955&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1986&Xlocation=USA&Xcurrencycode=USD
127,Wally's Wine & Spirits,Online wine merchant. ex. sales tax,"10459 Jefferson Blvd. Culver City, Los Angeles, CA, 90232", Los Angeles, Los Angeles,90232,34.00706,-118.392573,USA,CA,1985,75.0,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115493&wine_name_id_F=85261&merchant_id_F=287&price_F=54.626675&page_no_F=1&line_no_F=1&ebp_price_F=54.626675&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1985&Xlocation=USA&Xcurrencycode=USD
128,Chap4 Fine+Rare Supply,"Fine and Rare Wine retailer with 25 years experience featuring hard to find, investment quality, vintages of proven provenance from the country's privately held cellars. ex. sales tax","9520 Jefferson Blvd. Culver, CA 90232", CA 90232, Culver,90232,34.01821,-118.386511,USA,CA,1982,60.0,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=22072049&wine_name_id_F=85261&merchant_id_F=140379&price_F=43.70134&page_no_F=1&line_no_F=1&ebp_price_F=43.70134&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1982&Xlocation=USA&Xcurrencycode=USD
129,Chap4 Fine+Rare Supply,"Fine and Rare Wine retailer with 25 years experience featuring hard to find, investment quality, vintages of proven provenance from the country's privately held cellars. ex. sales tax","9520 Jefferson Blvd. Culver, CA 90232", CA 90232, Culver,90232,34.01821,-118.386511,USA,CA,1982,75.0,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=22067188&wine_name_id_F=85261&merchant_id_F=140379&price_F=54.626675&page_no_F=1&line_no_F=2&ebp_price_F=54.626675&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1982&Xlocation=USA&Xcurrencycode=USD
130,Punt,"Retailer specializing in small production, highly allocated, domestic wines as well as vintage, blue chip French wine. ex. sales tax","Suite 1, 60 Liberty Ship Way, Sausalito, CA 94965", 60 Liberty Ship Way, Sausalito,94965,37.862835,-122.491883,USA,CA,1979,350.0,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115782&wine_name_id_F=85261&merchant_id_F=1864&price_F=254.92448&page_no_F=1&line_no_F=1&ebp_price_F=254.92448&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=1979&Xlocation=USA&Xcurrencycode=USD
