ID,merchant-name,merchant-description,physical-address,street-name,city,zip-code,latitude,longitude,country,state,vintage,price,bottle-size,format,volume,link
11,Wally's Wine & Spirits,Online wine merchant. ex. sales tax,"10459 Jefferson Blvd. Culver City, Los Angeles, CA, 90232", Los Angeles, Los Angeles,90232,34.00706,-118.392573,USA,CA,2018,28.0,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115244&wine_name_id_F=85261&merchant_id_F=287&price_F=20.393959&page_no_F=1&line_no_F=12&ebp_price_F=40.787918&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
12,Garnet Wines & Liquors,Merchant with a large selection of fine wine and spirits. ex. sales tax,"929 Lexington Avenue, New York, NY 10065", New York, New York,10065,40.76796,-73.963744,USA,NY,2018,28.79,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=18641786&wine_name_id_F=85261&merchant_id_F=307&price_F=20.96936&page_no_F=1&line_no_F=13&ebp_price_F=41.93872&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
13,67 Wine & Spirits NY,Fine wine and spirits merchant. ex. sales tax,"179 Columbus Avenue, New York, NY 10023", New York, New York,10023,40.774645,-73.980565,USA,NY,2018,28.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116008&wine_name_id_F=85261&merchant_id_F=955&price_F=21.11503&page_no_F=1&line_no_F=14&ebp_price_F=42.23006&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
14,The Corkery Wine & Spirits,Wine merchant. ex. sales tax,"15 Bridge Street, New York, NY 10004", New York, New York,10004,40.703595,-74.012704,USA,NY,2018,29.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115577&wine_name_id_F=85261&merchant_id_F=15206&price_F=21.843386&page_no_F=1&line_no_F=15&ebp_price_F=43.68677&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
15,WineBid,Weekly online auctions that close every Sunday. fees apply,"755 Skyway Court, Napa, CA 94558", Napa, Napa,94558,38.217995,-122.265467,USA,CA,2018,30.0,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=20223691&wine_name_id_F=85261&merchant_id_F=362&price_F=21.85067&page_no_F=1&line_no_F=16&ebp_price_F=21.85067&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=A&tax_status_F=fees+apply&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
16,Yiannis Wine,Wine shop. ex. sales tax,"401 N Great Neck Rd #123, Virginia Beach, VA 23454", Virginia Beach, Virginia Beach,23454,36.845732,-76.049339,USA,VA,2018,31.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115652&wine_name_id_F=85261&merchant_id_F=126267&price_F=23.300098&page_no_F=1&line_no_F=17&ebp_price_F=46.600197&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
17,Michael Towne Wines & Spirits,Wine and spirits retail. ex. sales tax,"73 Clark Street, Brooklyn, NY 11201", Brooklyn, Brooklyn,11201,40.69761,-73.993238,USA,NY,2018,34.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115321&wine_name_id_F=85261&merchant_id_F=67783&price_F=25.485165&page_no_F=1&line_no_F=18&ebp_price_F=50.97033&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
18,Clever Wine Online,Online Wine merchant. ex. sales tax,"374 Windsor Highway Vails Gate, NY 12584", NY 12584,374 Windsor Highway Vails Gate,12584,41.459342,-74.056083,USA,NY,2018,38.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116033&wine_name_id_F=85261&merchant_id_F=149345&price_F=28.398588&page_no_F=1&line_no_F=19&ebp_price_F=28.398588&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
19,Woods Wholesale Wine,Michigan's #1 Wine & Spirits Retailer. ex. sales tax,"20787 Mack Avenue, Grosse Pointe Woods, MI 48236", Grosse Pointe Woods, Grosse Pointe Woods,48236,42.445356,-82.906895,USA,MI,2018,39.94,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115566&wine_name_id_F=85261&merchant_id_F=3279&price_F=29.090525&page_no_F=1&line_no_F=20&ebp_price_F=29.090525&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
20,Malibu Liquor & Wine,Retail. ex. sales tax,"4937 Las Virgenes Rd Calabasas, CA 91302", CA 91302,4937 Las Virgenes Rd Calabasas,91302,34.147186,-118.698617,USA,CA,2018,39.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115525&wine_name_id_F=85261&merchant_id_F=139463&price_F=29.097809&page_no_F=1&line_no_F=21&ebp_price_F=29.097809&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
21,Bella Vino Wine Market,"Wine retailer, established 2005. ex. sales tax","100 Indian Rocks Road N., Belleair Bluffs, FL 33770", Belleair Bluffs, Belleair Bluffs,33770,27.917957,-82.817059,USA,FL,2018,39.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115486&wine_name_id_F=85261&merchant_id_F=26127&price_F=29.097809&page_no_F=1&line_no_F=22&ebp_price_F=29.097809&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
22,EmpireWine.com,New York based liquor and wine store. ex. sales tax,"Northway Mall/Target Plaza, 1440 Central Avenue, Albany, NY 12205", 1440 Central Avenue, Albany,12205,42.707621,-73.822779,USA,NY,2018,39.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115513&wine_name_id_F=85261&merchant_id_F=4130&price_F=29.097809&page_no_F=1&line_no_F=23&ebp_price_F=29.097809&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
23,"Total Wine & More, Bellevue","Wine, beer and spirits retailer. ex. sales tax","Unit B, 699 120th Avenue, Bellevue, WA 98005", 699 120th Avenue, Bellevue,98005,47.615805,-122.182142,USA,WA,2018,40.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115760&wine_name_id_F=85261&merchant_id_F=52502&price_F=29.855299&page_no_F=1&line_no_F=24&ebp_price_F=29.855299&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2018&Xlocation=USA&Xcurrencycode=USD
24,Pogo's Liquor Inc.,"Fine wine, liquor, beer and ale. ex. sales tax","Suite 200, 5360 West Lovers Lane, Dallas, TX 75209", 5360 West Lovers Lane, Dallas,75209,32.85015,-96.820319,USA,TX,2017,29.99,Half Bottle (375ml),Half Bottle ,375ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116199&wine_name_id_F=85261&merchant_id_F=4203&price_F=21.843386&page_no_F=1&line_no_F=1&ebp_price_F=43.68677&bot_size_F=Half+Bottle+%28375ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
25,Hookedonwine,Purveyors of fine and vintage wines. ex. sales tax,"3805 West 42nd Avenue, Kennewick, WA 99337", Kennewick, Kennewick,99337,46.17233,-119.175046,USA,WA,2017,34.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115826&wine_name_id_F=85261&merchant_id_F=14438&price_F=25.45603&page_no_F=1&line_no_F=2&ebp_price_F=25.45603&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
26,The House of Glunz,Merchants of fine wines & spirits since 1888. ex. sales tax,"1206 North Wells Street, Chicago, IL 60610", Chicago, Chicago,60610,41.904113,-87.634631,USA,IL,2017,39.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115065&wine_name_id_F=85261&merchant_id_F=7477&price_F=29.126944&page_no_F=1&line_no_F=3&ebp_price_F=29.126944&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
27,K&L Wine Merchants,Wine merchant established in 1976. ex. sales tax,"3005 El Camino Real, Redwood City, CA 94061", Redwood City, Redwood City,94061,37.468422,-122.210258,USA,CA,2017,39.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115990&wine_name_id_F=85261&merchant_id_F=40&price_F=29.126944&page_no_F=1&line_no_F=4&ebp_price_F=29.126944&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
28,Lighthouse Wine & Spirits,"The North Shore's destination wine, beer and liquor retailer. ex. sales tax","144 Brimbal Ave, Beverly, MA 01915", Beverly, Beverly,1915,42.575619,-70.879509,USA,MA,2017,39.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116027&wine_name_id_F=85261&merchant_id_F=144327&price_F=29.126944&page_no_F=1&line_no_F=5&ebp_price_F=29.126944&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
29,World Class Wine,Wine retailer. ex. sales tax,"1990 Westwood Blvd, Suite 115, Los Angeles, CA 90025", Suite 115, Los Angeles,90025,34.046991,-118.434063,USA,CA,2017,41.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115028&wine_name_id_F=85261&merchant_id_F=19987&price_F=30.55452&page_no_F=1&line_no_F=6&ebp_price_F=30.55452&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
30,Basser's Fine Wine,Wine merchant. ex. sales tax,"6240 Coral Ridge Dr #109, Coral Springs, FL 33076", Coral Springs, Coral Springs,33076,26.307353,-80.280782,USA,FL,2017,41.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115021&wine_name_id_F=85261&merchant_id_F=143220&price_F=30.583654&page_no_F=1&line_no_F=7&ebp_price_F=30.583654&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
31,Cork Wine Online,Wine merchant. ex. sales tax,"433 Parkbreeze Ct, Orlando, FL 32808", Orlando, Orlando,32808,28.597811,-81.421671,USA,FL,2017,41.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115284&wine_name_id_F=85261&merchant_id_F=58906&price_F=30.583654&page_no_F=1&line_no_F=8&ebp_price_F=30.583654&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
32,Luekens Wine & Spirits,"Fine Wine, Wine, Liquor, Cigars, and Craft Beers. ex. sales tax","1410 Main Street, Dunedin, Fl 34698", Dunedin, Dunedin,34698,28.01971,-82.767483,USA,FL,2017,42.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115668&wine_name_id_F=85261&merchant_id_F=16971&price_F=31.31201&page_no_F=1&line_no_F=9&ebp_price_F=31.31201&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
33,B-21,Wine merchant established in 1948. ex. sales tax,"43380 US Highway 19 North, Tarpon Springs, FL 34689", Tarpon Springs, Tarpon Springs,34689,28.165844,-82.74105,USA,FL,2017,42.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115522&wine_name_id_F=85261&merchant_id_F=34&price_F=31.31201&page_no_F=1&line_no_F=10&ebp_price_F=31.31201&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
34,Mid Valley Wine & Liquor,Family-owned business started over 50 years ago. ex. sales tax,"Suite 1, 39 North Plank Road, Newburgh, NY 12550", 39 North Plank Road, Newburgh,12550,41.520878,-74.02891,USA,NY,2017,43.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116203&wine_name_id_F=85261&merchant_id_F=14080&price_F=32.040367&page_no_F=1&line_no_F=11&ebp_price_F=32.040367&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
35,WineDeals.com Premier Wine & Spirits,New York based wine retailer. ex. sales tax,"3900 Maple Road, Amherst, NY 14226", Amherst, Amherst,14226,42.991782,-78.819546,USA,NY,2017,43.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115250&wine_name_id_F=85261&merchant_id_F=1189&price_F=32.040367&page_no_F=1&line_no_F=12&ebp_price_F=32.040367&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
36,Spectrum Wine Retail,Wine retailer. ex. sales tax,1641 E Saint Andrew Pl Santa Ana CA 92705,,,92705,33.724384,-117.846824,USA,CA,2017,44.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115335&wine_name_id_F=85261&merchant_id_F=54913&price_F=32.739586&page_no_F=1&line_no_F=13&ebp_price_F=32.739586&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
37,Vintage Wines,Wine retailer. ex. sales tax,"Suite 101, 6904 Miramar Road, San Diego CA 92121", 6904 Miramar Road, 6904 Miramar Road,92121,32.879193,-117.167472,USA,CA,2017,44.95,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115179&wine_name_id_F=85261&merchant_id_F=2905&price_F=32.739586&page_no_F=1&line_no_F=14&ebp_price_F=32.739586&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
38,Suburban Wines,Fine wine and spirits merchant established in 1958. ex. sales tax,"379 Downing Drive, Yorktown Heights, NY 10598", Yorktown Heights, Yorktown Heights,10598,41.273092,-73.780712,USA,NY,2017,44.97,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116189&wine_name_id_F=85261&merchant_id_F=565&price_F=32.754154&page_no_F=1&line_no_F=15&ebp_price_F=32.754154&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
39,Martin Wine Cellar,"Fine wine, spirits, craft beer, and gourmet food retailer in New Orleans and surrounding areas. ex. sales tax","3827 Baronne Street, New Orleans, LA 70115", New Orleans, New Orleans,70115,29.929226,-90.096656,USA,LA,2017,44.97,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=21805285&wine_name_id_F=85261&merchant_id_F=173&price_F=32.754154&page_no_F=1&line_no_F=16&ebp_price_F=32.754154&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
40,Yankee Spirits,Wine merchant. no sales tax applies,"376 Main Street, Sturbridge, MA 01566", Sturbridge, Sturbridge,1566,42.111703,-72.091277,USA,MA,2017,44.98,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115791&wine_name_id_F=85261&merchant_id_F=16104&price_F=32.761436&page_no_F=1&line_no_F=17&ebp_price_F=32.761436&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=no+sales+tax+applies&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
41,Allendale Wine Shoppe,Wine and liquor retailer. ex. sales tax,"101 W Allendale Avenue, Allendale, NJ 07401", Allendale, Allendale,7401,41.030372,-74.129645,USA,NJ,2017,44.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115650&wine_name_id_F=85261&merchant_id_F=46497&price_F=32.768723&page_no_F=1&line_no_F=18&ebp_price_F=32.768723&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
42,Plucky Wines,Featuring an extensive wine collection. ex. sales tax,"359 Hwy 202/206 South, Bedminster, NJ 07921", Bedminster, Bedminster,7921,40.649737,-74.643211,USA,NJ,2017,44.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116204&wine_name_id_F=85261&merchant_id_F=14292&price_F=32.768723&page_no_F=1&line_no_F=19&ebp_price_F=32.768723&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
43,International Wine Shop,Wine merchant with a selection of wine from across the globe. ex. sales tax,"732 Post Road East, Westport, CT 06880", Westport, Westport,6880,41.137505,-73.341613,USA,CT,2017,44.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115148&wine_name_id_F=85261&merchant_id_F=14852&price_F=32.768723&page_no_F=1&line_no_F=20&ebp_price_F=32.768723&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
44,Wine Anthology,Online wine retail store. ex. sales tax,"1075 Raritan Road Clark, NJ 07066", NJ 07066,1075 Raritan Road Clark,7066,40.627766,-74.314104,USA,NJ,2017,44.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115070&wine_name_id_F=85261&merchant_id_F=5825&price_F=32.768723&page_no_F=1&line_no_F=21&ebp_price_F=32.768723&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
45,WineWorks Online,Online wine merchant. ex. sales tax,"319 Route 70, Marlton, NJ 08053", Marlton, Marlton,8053,39.89485,-74.93409,USA,NJ,2017,45.98,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116209&wine_name_id_F=85261&merchant_id_F=22584&price_F=33.489796&page_no_F=1&line_no_F=22&ebp_price_F=33.489796&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
46,PJ Wine,Fine wine and spirits retailer. ex. sales tax,"4898 Broadway, New York, NY 10034", New York, New York,10034,40.866958,-73.922198,USA,NY,2017,46.97,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=19814529&wine_name_id_F=85261&merchant_id_F=1152&price_F=34.210865&page_no_F=1&line_no_F=23&ebp_price_F=34.210865&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
47,Vintage Wine Merchants,Californian based wine store with a range of vintages available. ex. sales tax,"Suite 1135, 377 Santana Row, San Jose, CA 95128", 377 Santana Row, San Jose,95128,37.319863,-121.948991,USA,CA,2017,46.98,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=18113173&wine_name_id_F=85261&merchant_id_F=5234&price_F=34.21815&page_no_F=1&line_no_F=24&ebp_price_F=34.21815&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2017&Xlocation=USA&Xcurrencycode=USD
48,Glendale Liquor,"Liquor store, sells wine and spirits. ex. sales tax","1311 E Colorado St, Glendale, CA 91205", Glendale, Glendale,91205,34.142875,-118.237198,USA,CA,2016,45.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4114963&wine_name_id_F=85261&merchant_id_F=134445&price_F=33.497078&page_no_F=1&line_no_F=1&ebp_price_F=33.497078&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2016&Xlocation=USA&Xcurrencycode=USD
49,Internet Wines & Spirits,Online division for Illinois based store Randall's Wines and Spirits. ex. sales tax,"10800 Lincoln Trail, Fairview Heights, IL 62208", Fairview Heights, Fairview Heights,62208,38.592475,-89.991959,USA,IL,2016,47.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4115534&wine_name_id_F=85261&merchant_id_F=390&price_F=34.95379&page_no_F=1&line_no_F=2&ebp_price_F=34.95379&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2016&Xlocation=USA&Xcurrencycode=USD
50,Mr.D,Fine and rare wine merchant. ex. sales tax,"3020 NW 7th Ave, Miami FL 33127", Miami FL 33127,3020 NW 7th Ave,33127,25.8054,-80.207523,USA,FL,2016,48.98,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=17140549&wine_name_id_F=85261&merchant_id_F=118990&price_F=35.674862&page_no_F=1&line_no_F=3&ebp_price_F=35.674862&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2016&Xlocation=USA&Xcurrencycode=USD
51,The Wine and Cheese Place,Specialty wine shop specializing in hard to get wines. ex. sales tax,"7435 Forsyth Boulevard, Clayton, St Louis, MO 63105", Clayton, St Louis,63105,38.649435,-90.329284,USA,MO,2016,48.99,Bottle (750ml),Bottle ,750ml,https://www.wine-searcher.com/redirect?from_type_F=A&from_page_F=1462&wine_id_F=4116202&wine_name_id_F=85261&merchant_id_F=12324&price_F=35.682144&page_no_F=1&line_no_F=4&ebp_price_F=35.682144&bot_size_F=Bottle+%28750ml%29&design_F=&offer_type_F=R&tax_status_F=ex.+sales+tax&Xwinename=duckhorn+vineyard+napa+merlot&Xvintage_F=2016&Xlocation=USA&Xcurrencycode=USD
